attrition,gender,birthday,age,staff_category,stock_options,job_title,hire_date,performance_rating,employee_satisfaction,last_promotion_date,recent_salary,prior_salary,last_raise,commute_distance,percent_travel,marital_status,education,employee_id
No,female,1968-12-15,50,Hourly,Not Eligible,Manager Environmental Engineering,2007-05-07,A,45,2015-06-15,149729,149729,0,20,24,Married,Graduate Degree,2001471085
No,male,1965-08-25,53,Salaried,Not Eligible,Medical Occupational Therapy Aide,2012-12-01,B,67,2017-09-30,79821,78255,1566,39,19,Married,PhD,2001471086
No,female,1977-09-05,41,Salaried,Not Eligible,Clerk Foreign Exchange Banking,2014-01-25,B,72,2016-09-09,83902,83902,0,45,61,Single,Some College,2001471087
No,female,1973-11-01,45,Hourly,Eligible,Baker,2009-07-23,C,52,2016-06-06,164661,164661,0,8,82,Married,Bachelors Degree,2001471088
Yes,male,1967-12-22,51,Salaried,Not Eligible,Biomedical Engineer,2005-01-14,D,62,2015-08-16,189852,171037,18815,0,17,Married,Some College,2001471089
No,male,1981-10-21,37,Salaried,Not Eligible,Photographer Lithographic,2005-05-04,D,51,2014-05-26,134278,131645,2633,25,91,Married,Graduate Degree,2001471090
No,female,1979-07-03,39,Salaried,Not Eligible,Dietitian,2011-04-02,B,82,2016-07-27,155338,155338,0,38,95,Single,Some College,2001471091
Yes,male,1971-08-22,47,Salaried,Eligible,Operator Plastic Extruder,2009-11-01,A,84,2017-11-24,100609,97678,2931,34,100,Married,PhD,2001471092
No,female,1982-05-12,37,Hourly,Eligible,Minister,2013-09-26,A,85,2014-01-23,99280,87087,12193,10,18,Single,Bachelors Degree,2001471093
No,male,1971-06-08,48,Salaried,Not Eligible,Supervisor 2 Accounting,2007-04-15,C,38,2018-03-03,151979,143376,8603,27,38,Married,Bachelors Degree,2001471094
No,female,1979-06-15,40,Hourly,Not Eligible,Credit Investigator,2007-05-14,A,42,2014-03-07,155239,150717,4522,8,66,Single,Some College,2001471095
No,male,1959-07-18,59,Salaried,Not Eligible,Supervisor Plumber,2007-04-18,A,80,2015-08-23,51974,50460,1514,17,30,Married,Bachelors Degree,2001471096
Yes,male,1969-08-16,49,Salaried,Not Eligible,Photojournalist,2010-04-22,C,76,2016-01-14,82831,75991,6840,31,57,Married,Bachelors Degree,2001471097
No,male,1969-11-05,49,Hourly,Not Eligible,Machinist Production,2006-09-04,C,56,2015-08-20,145791,136253,9538,30,58,Single,Bachelors Degree,2001471098
No,male,1976-10-15,42,Hourly,Eligible,Analyst Sales,2006-09-06,A,38,2014-09-04,191677,177478,14199,26,43,Married,Bachelors Degree,2001471099
No,female,1964-05-08,55,Salaried,Not Eligible,Creative Director,2010-05-27,B,80,2014-04-25,50906,50401,505,28,97,Married,Graduate Degree,2001471100
No,male,1980-04-27,39,Salaried,Not Eligible,Operator Wire Wrapping Machine,2017-03-16,B,31,2018-02-12,145612,142756,2856,3,70,Married,Some College,2001471101
No,female,1960-05-06,59,Salaried,Eligible,Dispatcher Vehicle Maintenance,2017-12-14,C,79,2017-01-13,68395,61066,7329,30,82,Married,Bachelors Degree,2001471102
No,female,1972-09-10,46,Salaried,Not Eligible,Computer Programmer Engineer,2016-03-23,D,74,2016-05-26,184802,171112,13690,28,76,Married,PhD,2001471103
No,female,1964-01-28,55,Hourly,Not Eligible,Zoologist,2010-04-02,D,46,2017-03-26,101841,101841,0,45,64,Single,Bachelors Degree,2001471104
No,male,1971-09-07,47,Salaried,Not Eligible,CT Technologist,2006-06-07,A,58,2015-05-24,102117,90369,11748,14,80,Single,Bachelors Degree,2001471105
No,female,1981-09-22,37,Salaried,Not Eligible,Technician Dental Laboratory,2011-09-08,A,90,2017-12-22,181838,176541,5297,27,53,Married,PhD,2001471106
Yes,male,1972-06-09,47,Salaried,Eligible,Test Mechanic,2005-04-01,A,95,2017-09-23,192750,172098,20652,5,59,Single,PhD,2001471107
No,female,1975-12-03,43,Salaried,Not Eligible,Librarian 3,2008-05-09,B,56,2015-02-13,79010,75971,3039,23,36,Married,Some College,2001471108
No,female,1981-02-27,38,Salaried,Not Eligible,Assistant Manager Retail Store (Experience),2010-05-20,D,73,2017-01-08,58926,57770,1156,45,91,Single,Some College,2001471109
No,female,1979-09-02,39,Hourly,Not Eligible,Mechanical Building Maintenance Supervisor,2010-12-30,B,91,2014-10-21,149109,133133,15976,35,46,Married,Graduate Degree,2001471110
No,male,1970-04-28,49,Salaried,Not Eligible,Milling/Planing Machine Setup Operator,2016-03-08,A,32,2014-07-12,190535,190535,0,33,98,Married,PhD,2001471111
No,female,1983-01-30,36,Hourly,Eligible,Long-Range Planning Supervisor,2013-07-09,B,75,2015-01-14,77141,68266,8875,3,36,Married,Bachelors Degree,2001471112
Yes,male,1980-10-30,38,Salaried,Not Eligible,District Manager Fast Food,2010-05-27,D,70,2016-12-19,192001,192001,0,27,57,Married,Some College,2001471113
No,male,1959-09-25,59,Salaried,Not Eligible,Drug Abuse Counselor,2013-09-07,C,58,2017-12-03,173291,150687,22604,7,17,Single,Graduate Degree,2001471114
Yes,male,1965-09-25,53,Salaried,Not Eligible,Aerodynamicist,2017-11-28,B,94,2017-12-28,194974,189295,5679,25,98,Married,PhD,2001471115
No,male,1980-07-23,38,Salaried,Eligible,Machinist Experimental,2005-03-06,C,44,2016-04-30,129321,120860,8461,19,82,Married,Graduate Degree,2001471116
No,female,1981-04-12,38,Salaried,Not Eligible,RN,2015-08-01,C,59,2016-12-30,53766,46753,7013,0,11,Married,Bachelors Degree,2001471117
No,male,1962-07-19,56,Salaried,Not Eligible,Technician Medical Records,2012-07-24,A,94,2014-10-14,58184,53379,4805,16,40,Single,Some College,2001471118
No,male,1966-05-09,53,Hourly,Eligible,Bookkeeping Supervisor,2010-09-10,A,94,2016-06-23,76048,67299,8749,7,18,Single,Bachelors Degree,2001471119
No,male,1964-12-28,54,Salaried,Not Eligible,Engineering Technician Mechanical,2004-09-23,C,85,2014-07-24,84170,81718,2452,31,26,Single,Graduate Degree,2001471120
No,female,1977-12-29,41,Salaried,Not Eligible,Manager Chemical Plant,2018-04-12,D,40,2018-06-03,96050,95099,951,43,77,Married,PhD,2001471121
Yes,female,1978-12-01,40,Hourly,Not Eligible,Engineer Electronic Sales,2011-03-01,B,39,2015-07-25,113169,112048,1121,13,19,Married,Some College,2001471122
No,male,1962-04-30,57,Salaried,Not Eligible,Personnel Communications Manager,2005-10-26,D,82,2013-11-04,136821,130305,6516,14,76,Single,Some College,2001471123
Yes,male,1984-04-17,35,Hourly,Not Eligible,Technician Calibration Laboratory,2009-11-11,D,56,2014-12-30,128625,111847,16778,38,82,Single,Some College,2001471124
No,female,1968-01-03,51,Salaried,Not Eligible,Aircraft Flight Attendant,2016-11-10,A,49,2014-01-04,57897,57897,0,32,49,Married,Graduate Degree,2001471125
No,male,1972-07-12,46,Salaried,Not Eligible,Cutter Glass,2012-05-03,C,51,2014-12-08,121347,115568,5779,0,82,Married,Some College,2001471126
No,female,1964-02-22,55,Salaried,Not Eligible,Advertising Account Executive,2018-03-11,C,32,2016-03-16,54258,54258,0,5,97,Single,Bachelors Degree,2001471127
Yes,male,1964-06-16,55,Hourly,Not Eligible,Volunteers Head,2016-02-01,A,91,2017-09-04,198828,189360,9468,34,81,Single,PhD,2001471128
No,male,1969-04-30,50,Salaried,Not Eligible,Hoist & Winch Operator,2006-05-04,C,72,2016-11-25,82534,82534,0,29,100,Married,PhD,2001471129
Yes,female,1963-04-03,56,Salaried,Not Eligible,Engineer Quality Control,2008-04-12,A,99,2017-04-26,160753,159161,1592,22,36,Married,PhD,2001471130
Yes,female,1977-12-20,41,Salaried,Not Eligible,Supervisor Painting,2014-09-26,C,58,2016-08-31,134849,130921,3928,9,60,Single,PhD,2001471131
Yes,male,1965-11-15,53,Hourly,Not Eligible,Employee Relations Specialist,2005-02-02,C,56,2015-08-12,140117,129737,10380,3,50,Married,Some College,2001471132
No,female,1984-01-30,35,Hourly,Not Eligible,Physical Therapy Head,2018-02-01,C,59,2015-04-04,96458,92748,3710,2,44,Married,Bachelors Degree,2001471133
No,female,1976-02-22,43,Hourly,Not Eligible,Laser Technician,2018-04-12,D,75,2017-06-29,168630,160600,8030,18,75,Married,Bachelors Degree,2001471134
No,female,1983-02-09,36,Hourly,Not Eligible,Engineer Value,2004-08-22,D,84,2014-08-11,131422,120570,10852,25,69,Single,Bachelors Degree,2001471135
No,female,1967-05-20,52,Hourly,Eligible,Technician Publishing,2012-07-07,B,64,2014-06-15,95317,87446,7871,11,19,Married,Bachelors Degree,2001471136
No,female,1978-01-15,41,Salaried,Not Eligible,PC Supervisor,2005-11-17,A,68,2015-07-29,155782,142919,12863,36,76,Single,Some College,2001471137
Yes,female,1969-11-27,49,Salaried,Not Eligible,Banking Customer Service Representative,2009-04-12,D,44,2015-03-04,197016,174350,22666,6,75,Single,Bachelors Degree,2001471138
No,male,1979-01-26,40,Salaried,Not Eligible,Supervisor Graphic,2009-08-13,A,45,2013-10-18,83242,80040,3202,9,75,Married,Some College,2001471139
Yes,male,1975-06-02,44,Salaried,Not Eligible,IT Data Control Supervisor,2012-09-18,A,95,2016-11-14,150765,133420,17345,12,64,Married,PhD,2001471140
No,male,1983-01-29,36,Salaried,Not Eligible,Recreation Supervisor,2007-11-21,A,91,2014-08-18,76290,73355,2935,30,32,Married,Graduate Degree,2001471141
No,female,1983-12-26,35,Salaried,Not Eligible,Brewing Superintendent,2012-04-23,D,99,2015-10-14,197075,172872,24203,21,17,Married,Some College,2001471142
Yes,female,1969-10-23,49,Salaried,Eligible,Coach Operator,2012-12-14,C,65,2015-03-16,110830,107601,3229,38,22,Married,Graduate Degree,2001471143
Yes,male,1982-09-15,36,Hourly,Not Eligible,Locksmith,2014-11-14,A,80,2013-10-02,86093,78266,7827,39,82,Married,PhD,2001471144
No,female,1964-06-02,55,Salaried,Not Eligible,Medical Podiatrist,2018-04-17,B,93,2014-07-22,188011,174084,13927,20,89,Married,PhD,2001471145
No,female,1973-11-30,45,Salaried,Eligible,Systems Analysis Manager,2008-07-19,A,67,2017-06-17,138524,131927,6597,31,65,Married,Some College,2001471146
Yes,female,1967-12-22,51,Salaried,Not Eligible,Information Technology Supervisor Data Entry,2016-09-22,B,47,2016-01-09,180307,180307,0,11,97,Married,PhD,2001471147
Yes,male,1980-01-28,39,Salaried,Not Eligible,Drywall Installer,2006-07-13,D,65,2015-04-20,118048,110325,7723,0,86,Married,PhD,2001471148
Yes,male,1972-11-19,46,Salaried,Not Eligible,Junior Clerk,2006-07-06,D,75,2013-11-09,101930,96160,5770,1,68,Married,PhD,2001471149
No,female,1971-08-04,47,Salaried,Not Eligible,Rehabilitation Clerk,2018-03-25,B,61,2017-12-31,89120,89120,0,42,85,Single,Bachelors Degree,2001471150
No,female,1981-05-04,38,Salaried,Eligible,CAD/CAM/CAE Technician,2015-05-17,C,66,2017-12-08,61715,61103,612,4,97,Married,PhD,2001471151
Yes,male,1965-06-22,53,Salaried,Eligible,Quality Control Technician,2005-09-28,C,47,2015-10-15,75457,69226,6231,16,33,Married,Graduate Degree,2001471152
No,male,1965-10-05,53,Hourly,Not Eligible,Manager Mental Health,2010-07-13,D,76,2017-02-27,69387,69387,0,1,16,Married,Some College,2001471153
No,male,1970-10-12,48,Salaried,Not Eligible,Safety Supervisor,2009-05-30,C,57,2017-06-06,66744,63565,3179,9,98,Single,Graduate Degree,2001471154
No,female,1974-01-06,45,Hourly,Not Eligible,Legal Manager,2011-05-23,A,85,2014-04-09,61819,61819,0,30,92,Single,Graduate Degree,2001471155
No,female,1974-05-31,45,Hourly,Not Eligible,Administrator Benefits,2017-04-08,A,35,2014-02-20,146544,132021,14523,25,25,Single,Bachelors Degree,2001471156
Yes,male,1978-10-14,40,Salaried,Not Eligible,Contract/Buyer Specialist 2,2011-04-14,A,46,2015-12-05,62019,58508,3511,25,88,Married,Graduate Degree,2001471157
Yes,female,1963-06-13,56,Salaried,Eligible,Engineer Traffic,2007-08-09,A,87,2016-02-23,65203,58741,6462,3,66,Married,PhD,2001471158
No,male,1971-08-29,47,Salaried,Not Eligible,Loan Collector Consumer,2015-01-12,C,99,2016-11-03,173313,150706,22607,31,17,Married,Some College,2001471159
Yes,male,1963-10-29,55,Hourly,Not Eligible,Fast Food Assistant Manager,2009-05-02,B,68,2014-09-22,136078,121498,14580,38,84,Single,Graduate Degree,2001471160
No,male,1971-08-08,47,Hourly,Not Eligible,Storekeeper,2015-03-15,A,80,2017-12-25,162189,148797,13392,40,76,Single,Graduate Degree,2001471161
Yes,male,1966-07-02,52,Salaried,Not Eligible,Supervisor Operations Generic,2005-09-01,D,43,2014-03-31,100848,100848,0,21,60,Married,Graduate Degree,2001471162
No,female,1969-12-04,49,Salaried,Not Eligible,Illustrator Technical,2016-10-19,A,71,2017-02-11,93857,93857,0,5,12,Single,Bachelors Degree,2001471163
No,male,1968-08-27,50,Salaried,Not Eligible,Biophysicist,2010-01-22,D,99,2016-11-08,127852,114153,13699,7,97,Married,PhD,2001471164
No,female,1962-04-30,57,Salaried,Not Eligible,Clerical Supervisor Generic,2014-01-30,B,31,2018-06-01,133624,121476,12148,33,94,Married,PhD,2001471165
No,female,1966-09-26,52,Salaried,Not Eligible,Front End Loader Operator,2006-04-22,C,43,2016-02-15,129648,117861,11787,31,69,Married,PhD,2001471166
No,male,1969-02-20,50,Hourly,Not Eligible,Customer Center Representative 1,2009-05-24,C,40,2017-11-21,192375,181485,10890,16,88,Single,Bachelors Degree,2001471167
No,female,1973-07-06,45,Hourly,Not Eligible,Engineer Documentation,2006-05-16,C,82,2018-01-28,188508,188508,0,17,81,Married,Some College,2001471168
No,male,1969-09-23,49,Salaried,Not Eligible,Priest,2009-05-08,C,50,2016-09-23,74001,66667,7334,42,72,Single,PhD,2001471169
No,male,1960-09-30,58,Salaried,Not Eligible,Clerk Installment Loan,2010-02-05,A,44,2014-08-30,146164,137890,8274,28,79,Married,Graduate Degree,2001471170
No,female,1975-03-13,44,Hourly,Not Eligible,Brake/Switch Railroad Operator,2008-11-30,D,61,2014-08-25,191691,171152,20539,26,20,Married,Graduate Degree,2001471171
No,male,1980-08-19,38,Salaried,Not Eligible,IT Systems Administrator,2016-11-14,A,88,2015-12-06,85275,81214,4061,28,62,Married,Bachelors Degree,2001471172
Yes,female,1978-07-29,40,Salaried,Eligible,Clerk Foreign Exchange Banking,2006-07-28,B,38,2017-09-16,193799,186345,7454,18,90,Married,Some College,2001471173
Yes,male,1967-04-14,52,Salaried,Not Eligible,Greenskeeper,2006-10-14,C,39,2016-06-05,163958,150420,13538,31,43,Married,Bachelors Degree,2001471174
No,female,1973-05-24,46,Salaried,Not Eligible,Operator Waste Treatment,2017-05-03,B,58,2016-01-16,56310,51190,5120,44,87,Married,Graduate Degree,2001471175
Yes,male,1961-02-19,58,Hourly,Not Eligible,Benefits & Compensation Supervisor,2011-07-14,A,68,2013-11-26,164513,162884,1629,6,67,Single,PhD,2001471176
Yes,female,1980-03-31,39,Hourly,Not Eligible,Knitting Machine Operator,2017-04-17,A,81,2016-08-01,159352,159352,0,11,53,Married,Some College,2001471177
No,female,1973-07-30,45,Salaried,Not Eligible,Shuttle Driver,2016-08-04,D,57,2016-12-22,63473,59880,3593,24,17,Married,Graduate Degree,2001471178
No,female,1972-02-20,47,Salaried,Not Eligible,Medical Occupational Therapy Head,2016-08-29,B,90,2016-10-03,144209,138662,5547,23,32,Married,Some College,2001471179
Yes,male,1962-02-19,57,Salaried,Not Eligible,Electric Utility Drafter,2003-07-01,B,57,2014-06-23,119365,110523,8842,23,16,Married,PhD,2001471180
Yes,female,1984-05-02,35,Hourly,Eligible,Medical Housekeeper,2006-02-04,C,53,2017-09-26,147882,147882,0,21,71,Married,Graduate Degree,2001471181
No,male,1963-06-17,56,Salaried,Eligible,Aircraft Navigator,2009-06-03,C,79,2017-07-29,89048,80952,8096,0,64,Single,Bachelors Degree,2001471182
No,female,1962-08-10,56,Hourly,Not Eligible,Sales Order Supervisor,2009-04-28,C,57,2016-02-04,63956,62093,1863,43,20,Married,PhD,2001471183
Yes,male,1969-01-15,50,Hourly,Not Eligible,Operator Power Plant,2003-07-06,A,63,2014-08-22,198366,175545,22821,13,56,Single,PhD,2001471184
Yes,female,1974-06-26,44,Salaried,Eligible,Ticket Taker,2007-02-06,A,83,2017-06-07,119908,116415,3493,21,89,Married,PhD,2001471185
No,female,1971-02-15,48,Salaried,Not Eligible,Warden Game,2004-07-24,C,83,2015-09-10,190731,183395,7336,2,61,Married,Graduate Degree,2001471186
No,female,1966-07-01,52,Salaried,Not Eligible,Livestock Sales Representative,2005-09-02,A,30,2016-12-05,73599,70768,2831,25,94,Married,Some College,2001471187
No,female,1962-04-16,57,Hourly,Not Eligible,Manager Facilities & Building,2012-03-19,C,85,2018-02-26,127742,124021,3721,1,83,Married,Graduate Degree,2001471188
No,female,1971-04-21,48,Salaried,Eligible,Appraiser,2004-11-06,B,99,2013-11-14,194926,169500,25426,6,46,Married,Bachelors Degree,2001471189
No,male,1967-10-21,51,Salaried,Not Eligible,Food Checker,2016-08-12,A,67,2017-02-22,117790,109064,8726,2,57,Single,PhD,2001471190
No,female,1970-02-26,49,Salaried,Not Eligible,Loan Processor,2006-05-04,D,82,2015-04-28,125170,118084,7086,17,88,Married,Some College,2001471191
No,female,1973-06-07,46,Salaried,Eligible,Coordinator Technical Training,2011-12-06,A,81,2016-04-02,56003,50911,5092,24,18,Married,Some College,2001471192
No,male,1979-09-16,39,Salaried,Not Eligible,Manager Railroad Construction,2007-08-12,A,66,2014-09-18,124225,111914,12311,32,35,Single,PhD,2001471193
Yes,male,1965-05-06,54,Salaried,Not Eligible,Customer Service Representative 2,2007-10-21,B,98,2017-05-21,177283,172119,5164,0,77,Single,Graduate Degree,2001471194
Yes,male,1980-11-19,38,Hourly,Not Eligible,Scientist Crop-Research,2005-01-09,D,41,2014-11-24,96126,91548,4578,25,81,Single,Graduate Degree,2001471195
No,male,1960-01-29,59,Salaried,Eligible,Restaurant Manager 3,2012-01-25,A,61,2018-05-18,64574,57145,7429,45,26,Married,Bachelors Degree,2001471196
No,male,1973-09-05,45,Salaried,Eligible,Organizational Psychologist,2006-05-23,B,92,2014-10-29,118092,108341,9751,6,95,Single,Graduate Degree,2001471197
Yes,female,1970-06-18,49,Salaried,Not Eligible,Safety Consultant,2005-10-10,A,81,2017-12-09,102533,102533,0,35,44,Single,Bachelors Degree,2001471198
No,male,1962-05-07,57,Salaried,Not Eligible,Integrated Circuit Fabricator,2012-03-28,A,55,2015-10-31,190788,176655,14133,8,53,Married,Graduate Degree,2001471199
Yes,male,1975-04-10,44,Salaried,Not Eligible,News Anchor,2016-03-18,A,50,2014-09-26,93517,88223,5294,29,58,Married,Some College,2001471200
No,male,1983-01-20,36,Salaried,Not Eligible,Laundry Attendant Self Service,2007-05-14,C,99,2018-01-08,65565,58022,7543,41,77,Married,Graduate Degree,2001471201
No,male,1961-06-01,58,Hourly,Eligible,Admin Engineering Supervisor,2007-10-01,B,84,2013-07-05,188565,181312,7253,6,77,Married,Bachelors Degree,2001471202
No,female,1979-04-06,40,Salaried,Not Eligible,Loan Clerk 2,2009-08-02,C,49,2015-01-25,114079,100069,14010,9,40,Single,PhD,2001471203
No,female,1965-03-14,54,Hourly,Not Eligible,Waiters/Waitress' Assistant,2011-02-24,D,92,2017-03-17,135633,123302,12331,23,81,Single,Bachelors Degree,2001471204
No,female,1977-04-26,42,Salaried,Not Eligible,Analyst Inventory,2008-11-21,B,97,2014-06-12,92741,82804,9937,21,23,Married,PhD,2001471205
No,female,1977-01-17,42,Salaried,Not Eligible,Medical Industrial Hygienist,2004-01-29,B,54,2017-11-22,51920,48523,3397,28,70,Married,PhD,2001471206
No,male,1962-11-15,56,Salaried,Not Eligible,Human Resources Information Systems Supervisor,2003-06-20,A,80,2014-10-06,152846,132909,19937,36,85,Married,Bachelors Degree,2001471207
No,female,1969-02-24,50,Salaried,Not Eligible,Engineer Hydraulic,2007-11-30,A,50,2016-03-24,157157,145515,11642,16,11,Married,Some College,2001471208
No,male,1959-04-27,60,Salaried,Not Eligible,Technician Medical Emergency,2014-06-17,A,93,2015-07-16,113089,113089,0,41,65,Married,Some College,2001471209
No,male,1976-09-23,42,Salaried,Not Eligible,Agent Reservations,2016-12-10,D,62,2017-02-20,53527,48660,4867,11,70,Married,Some College,2001471210
No,female,1979-03-06,40,Salaried,Not Eligible,Medical Podiatrist,2016-09-15,A,59,2015-06-14,51219,44538,6681,21,27,Single,Bachelors Degree,2001471211
Yes,male,1974-11-07,44,Hourly,Not Eligible,Wholesale Manager,2011-02-07,B,95,2014-04-08,190568,179781,10787,0,81,Married,Bachelors Degree,2001471212
No,male,1980-10-11,38,Salaried,Not Eligible,Housecleaner,2006-03-08,D,74,2015-01-14,130569,115547,15022,29,92,Married,Some College,2001471213
No,male,1961-12-06,57,Hourly,Not Eligible,Employment Assistant,2009-11-23,A,36,2016-12-12,101142,98196,2946,32,35,Single,Graduate Degree,2001471214
No,male,1967-08-24,51,Salaried,Eligible,Engineer Agricultural,2010-03-28,A,58,2016-01-29,158974,158974,0,19,28,Single,Graduate Degree,2001471215
No,female,1969-05-11,50,Salaried,Not Eligible,Engineer Test,2013-06-06,C,55,2018-04-28,65838,57250,8588,24,47,Single,Graduate Degree,2001471216
No,female,1981-11-05,37,Hourly,Not Eligible,Food Checker,2006-10-13,C,51,2017-03-05,75166,75166,0,44,95,Single,Some College,2001471217
No,female,1974-06-24,44,Salaried,Not Eligible,Sanitary Engineer,2004-02-27,B,31,2016-01-12,190699,170266,20433,24,42,Married,Bachelors Degree,2001471218
No,female,1979-08-09,39,Salaried,Not Eligible,CCU Nurse,2013-05-19,D,96,2014-08-21,162913,162913,0,6,95,Married,Some College,2001471219
No,female,1959-11-24,59,Salaried,Not Eligible,Budget Supervisor,2004-03-08,D,31,2017-07-26,50953,49953,1000,12,10,Married,Graduate Degree,2001471220
Yes,male,1973-02-23,46,Salaried,Not Eligible,Senior Sales Representative,2003-12-16,A,53,2017-12-11,122028,111952,10076,33,32,Single,Graduate Degree,2001471221
No,male,1962-09-18,56,Salaried,Eligible,Maintenance Engineer,2013-07-01,B,94,2014-11-04,165147,165147,0,12,85,Married,Some College,2001471222
Yes,male,1979-02-20,40,Salaried,Not Eligible,Maintenance Carpenter,2008-09-12,C,52,2017-02-04,188388,165252,23136,26,71,Married,Graduate Degree,2001471223
Yes,male,1961-12-17,57,Hourly,Not Eligible,Coordinator Production,2016-02-19,C,32,2016-07-29,192086,186491,5595,36,46,Single,Bachelors Degree,2001471224
Yes,male,1969-05-09,50,Salaried,Eligible,Salesperson Meats,2007-04-01,A,96,2014-04-02,146482,142215,4267,39,88,Married,Bachelors Degree,2001471225
No,female,1970-11-22,48,Salaried,Not Eligible,Doctor Chiropractic,2004-09-11,A,75,2013-09-16,132894,132894,0,9,55,Married,PhD,2001471226
No,female,1962-02-02,57,Salaried,Not Eligible,Engineer Operating,2015-02-12,C,53,2015-10-03,81736,71698,10038,43,27,Married,Bachelors Degree,2001471227
No,female,1974-10-03,44,Salaried,Not Eligible,Aide Dietary,2010-11-24,B,74,2016-10-08,55484,55484,0,12,29,Married,Graduate Degree,2001471228
No,male,1964-04-02,55,Salaried,Eligible,Word Processor,2016-09-08,B,42,2016-09-11,74760,74760,0,41,44,Single,Graduate Degree,2001471229
No,female,1984-05-09,35,Salaried,Not Eligible,Quality Assurance Calibrator,2010-06-22,D,57,2017-10-27,133017,133017,0,19,79,Married,Some College,2001471230
Yes,female,1970-07-26,48,Hourly,Not Eligible,Inserting Machine Operator,2010-01-09,B,94,2015-09-20,164702,147055,17647,29,41,Married,Some College,2001471231
