attrition,gender,birthday,age,staff_category,stock_options,job_title,hire_date,performance_rating,employee_satisfaction,last_promotion_date,recent_salary,prior_salary,last_raise,commute_distance,percent_travel,marital_status,education,employee_id
No,female,30-04-1962,57,Salaried,Not Eligible,Clerical Supervisor Generic,30-01-2014,B,31,01-06-2018,133624,121476,12148,33,94,Married,PhD,2001471165
No,female,26-09-1966,52,Salaried,Not Eligible,Front End Loader Operator,22-04-2006,C,43,15-02-2016,129648,117861,11787,31,69,Married,PhD,2001471166
No,male,20-02-1969,50,Hourly,Not Eligible,Customer Center Representative 1,24-05-2009,C,40,21-11-2017,192375,181485,10890,16,88,Single,Bachelors Degree,2001471167
No,female,06-07-1973,45,Hourly,Not Eligible,Engineer Documentation,16-05-2006,C,82,28-01-2018,188508,188508,0,17,81,Married,Some College,2001471168
No,male,23-09-1969,49,Salaried,Not Eligible,Priest,08-05-2009,C,50,23-09-2016,74001,66667,7334,42,72,Single,PhD,2001471169
No,male,30-09-1960,58,Salaried,Not Eligible,Clerk Installment Loan,05-02-2010,A,44,30-08-2014,146164,137890,8274,28,79,Married,Graduate Degree,2001471170
No,female,13-03-1975,44,Hourly,Not Eligible,Brake/Switch Railroad Operator,30-11-2008,D,61,25-08-2014,191691,171152,20539,26,20,Married,Graduate Degree,2001471171
No,male,19-08-1980,38,Salaried,Not Eligible,IT Systems Administrator,14-11-2016,A,88,06-12-2015,85275,81214,4061,28,62,Married,Bachelors Degree,2001471172
Yes,female,29-07-1978,40,Salaried,Eligible,Clerk Foreign Exchange Banking,28-07-2006,B,38,16-09-2017,193799,186345,7454,18,90,Married,Some College,2001471173
Yes,male,14-04-1967,52,Salaried,Not Eligible,Greenskeeper,14-10-2006,C,39,05-06-2016,163958,150420,13538,31,43,Married,Bachelors Degree,2001471174
No,female,24-05-1973,46,Salaried,Not Eligible,Operator Waste Treatment,03-05-2017,B,58,16-01-2016,56310,51190,5120,44,87,Married,Graduate Degree,2001471175
Yes,male,19-02-1961,58,Hourly,Not Eligible,Benefits & Compensation Supervisor,14-07-2011,A,68,26-11-2013,164513,162884,1629,6,67,Single,PhD,2001471176
Yes,female,31-03-1980,39,Hourly,Not Eligible,Knitting Machine Operator,17-04-2017,A,81,01-08-2016,159352,159352,0,11,53,Married,Some College,2001471177
No,female,30-07-1973,45,Salaried,Not Eligible,Shuttle Driver,04-08-2016,D,57,22-12-2016,63473,59880,3593,24,17,Married,Graduate Degree,2001471178
No,female,20-02-1972,47,Salaried,Not Eligible,Medical Occupational Therapy Head,29-08-2016,B,90,03-10-2016,144209,138662,5547,23,32,Married,Some College,2001471179
Yes,male,19-02-1962,57,Salaried,Not Eligible,Electric Utility Drafter,01-07-2003,B,57,23-06-2014,119365,110523,8842,23,16,Married,PhD,2001471180
Yes,female,02-05-1984,35,Hourly,Eligible,Medical Housekeeper,04-02-2006,C,53,26-09-2017,147882,147882,0,21,71,Married,Graduate Degree,2001471181
No,male,17-06-1963,56,Salaried,Eligible,Aircraft Navigator,03-06-2009,C,79,29-07-2017,89048,80952,8096,0,64,Single,Bachelors Degree,2001471182
No,female,10-08-1962,56,Hourly,Not Eligible,Sales Order Supervisor,28-04-2009,C,57,04-02-2016,63956,62093,1863,43,20,Married,PhD,2001471183
Yes,male,15-01-1969,50,Hourly,Not Eligible,Operator Power Plant,06-07-2003,A,63,22-08-2014,198366,175545,22821,13,56,Single,PhD,2001471184
Yes,female,26-06-1974,44,Salaried,Eligible,Ticket Taker,06-02-2007,A,83,07-06-2017,119908,116415,3493,21,89,Married,PhD,2001471185
No,female,15-02-1971,48,Salaried,Not Eligible,Warden Game,24-07-2004,C,83,10-09-2015,190731,183395,7336,2,61,Married,Graduate Degree,2001471186
No,female,01-07-1966,52,Salaried,Not Eligible,Livestock Sales Representative,02-09-2005,A,30,05-12-2016,73599,70768,2831,25,94,Married,Some College,2001471187
No,female,16-04-1962,57,Hourly,Not Eligible,Manager Facilities & Building,19-03-2012,C,85,26-02-2018,127742,124021,3721,1,83,Married,Graduate Degree,2001471188
No,female,21-04-1971,48,Salaried,Eligible,Appraiser,06-11-2004,B,99,14-11-2013,194926,169500,25426,6,46,Married,Bachelors Degree,2001471189
No,male,21-10-1967,51,Salaried,Not Eligible,Food Checker,12-08-2016,A,67,22-02-2017,117790,109064,8726,2,57,Single,PhD,2001471190
No,female,26-02-1970,49,Salaried,Not Eligible,Loan Processor,04-05-2006,D,82,28-04-2015,125170,118084,7086,17,88,Married,Some College,2001471191
No,female,07-06-1973,46,Salaried,Eligible,Coordinator Technical Training,06-12-2011,A,81,02-04-2016,56003,50911,5092,24,18,Married,Some College,2001471192
No,male,16-09-1979,39,Salaried,Not Eligible,Manager Railroad Construction,12-08-2007,A,66,18-09-2014,124225,111914,12311,32,35,Single,PhD,2001471193
Yes,male,06-05-1965,54,Salaried,Not Eligible,Customer Service Representative 2,21-10-2007,B,98,21-05-2017,177283,172119,5164,0,77,Single,Graduate Degree,2001471194
Yes,male,19-11-1980,38,Hourly,Not Eligible,Scientist Crop-Research,09-01-2005,D,41,24-11-2014,96126,91548,4578,25,81,Single,Graduate Degree,2001471195
No,male,29-01-1960,59,Salaried,Eligible,Restaurant Manager 3,25-01-2012,A,61,18-05-2018,64574,57145,7429,45,26,Married,Bachelors Degree,2001471196
No,male,05-09-1973,45,Salaried,Eligible,Organizational Psychologist,23-05-2006,B,92,29-10-2014,118092,108341,9751,6,95,Single,Graduate Degree,2001471197
Yes,female,18-06-1970,49,Salaried,Not Eligible,Safety Consultant,10-10-2005,A,81,09-12-2017,102533,102533,0,35,44,Single,Bachelors Degree,2001471198
No,male,07-05-1962,57,Salaried,Not Eligible,Integrated Circuit Fabricator,28-03-2012,A,55,31-10-2015,190788,176655,14133,8,53,Married,Graduate Degree,2001471199
Yes,male,10-04-1975,44,Salaried,Not Eligible,News Anchor,18-03-2016,A,50,26-09-2014,93517,88223,5294,29,58,Married,Some College,2001471200
No,male,20-01-1983,36,Salaried,Not Eligible,Laundry Attendant Self Service,14-05-2007,C,99,08-01-2018,65565,58022,7543,41,77,Married,Graduate Degree,2001471201
No,male,01-06-1961,58,Hourly,Eligible,Admin Engineering Supervisor,01-10-2007,B,84,05-07-2013,188565,181312,7253,6,77,Married,Bachelors Degree,2001471202
No,female,06-04-1979,40,Salaried,Not Eligible,Loan Clerk 2,02-08-2009,C,49,25-01-2015,114079,100069,14010,9,40,Single,PhD,2001471203
No,female,14-03-1965,54,Hourly,Not Eligible,Waiters/Waitress' Assistant,24-02-2011,D,92,17-03-2017,135633,123302,12331,23,81,Single,Bachelors Degree,2001471204
No,female,26-04-1977,42,Salaried,Not Eligible,Analyst Inventory,21-11-2008,B,97,12-06-2014,92741,82804,9937,21,23,Married,PhD,2001471205
No,female,17-01-1977,42,Salaried,Not Eligible,Medical Industrial Hygienist,29-01-2004,B,54,22-11-2017,51920,48523,3397,28,70,Married,PhD,2001471206
No,male,15-11-1962,56,Salaried,Not Eligible,Human Resources Information Systems Supervisor,20-06-2003,A,80,06-10-2014,152846,132909,19937,36,85,Married,Bachelors Degree,2001471207
No,female,24-02-1969,50,Salaried,Not Eligible,Engineer Hydraulic,30-11-2007,A,50,24-03-2016,157157,145515,11642,16,11,Married,Some College,2001471208
No,male,27-04-1959,60,Salaried,Not Eligible,Technician Medical Emergency,17-06-2014,A,93,16-07-2015,113089,113089,0,41,65,Married,Some College,2001471209
No,male,23-09-1976,42,Salaried,Not Eligible,Agent Reservations,10-12-2016,D,62,20-02-2017,53527,48660,4867,11,70,Married,Some College,2001471210
No,female,06-03-1979,40,Salaried,Not Eligible,Medical Podiatrist,15-09-2016,A,59,14-06-2015,51219,44538,6681,21,27,Single,Bachelors Degree,2001471211
Yes,male,07-11-1974,44,Hourly,Not Eligible,Wholesale Manager,07-02-2011,B,95,08-04-2014,190568,179781,10787,0,81,Married,Bachelors Degree,2001471212
No,male,11-10-1980,38,Salaried,Not Eligible,Housecleaner,08-03-2006,D,74,14-01-2015,130569,115547,15022,29,92,Married,Some College,2001471213
No,male,06-12-1961,57,Hourly,Not Eligible,Employment Assistant,23-11-2009,A,36,12-12-2016,101142,98196,2946,32,35,Single,Graduate Degree,2001471214
No,male,24-08-1967,51,Salaried,Eligible,Engineer Agricultural,28-03-2010,A,58,29-01-2016,158974,158974,0,19,28,Single,Graduate Degree,2001471215
No,female,11-05-1969,50,Salaried,Not Eligible,Engineer Test,06-06-2013,C,55,28-04-2018,65838,57250,8588,24,47,Single,Graduate Degree,2001471216
No,female,05-11-1981,37,Hourly,Not Eligible,Food Checker,13-10-2006,C,51,05-03-2017,75166,75166,0,44,95,Single,Some College,2001471217
No,female,24-06-1974,44,Salaried,Not Eligible,Sanitary Engineer,27-02-2004,B,31,12-01-2016,190699,170266,20433,24,42,Married,Bachelors Degree,2001471218
No,female,09-08-1979,39,Salaried,Not Eligible,CCU Nurse,19-05-2013,D,96,21-08-2014,162913,162913,0,6,95,Married,Some College,2001471219
No,female,24-11-1959,59,Salaried,Not Eligible,Budget Supervisor,08-03-2004,D,31,26-07-2017,50953,49953,1000,12,10,Married,Graduate Degree,2001471220
Yes,male,23-02-1973,46,Salaried,Not Eligible,Senior Sales Representative,16-12-2003,A,53,11-12-2017,122028,111952,10076,33,32,Single,Graduate Degree,2001471221
No,male,18-09-1962,56,Salaried,Eligible,Maintenance Engineer,01-07-2013,B,94,04-11-2014,165147,165147,0,12,85,Married,Some College,2001471222
Yes,male,20-02-1979,40,Salaried,Not Eligible,Maintenance Carpenter,12-09-2008,C,52,04-02-2017,188388,165252,23136,26,71,Married,Graduate Degree,2001471223
Yes,male,17-12-1961,57,Hourly,Not Eligible,Coordinator Production,19-02-2016,C,32,29-07-2016,192086,186491,5595,36,46,Single,Bachelors Degree,2001471224
Yes,male,09-05-1969,50,Salaried,Eligible,Salesperson Meats,01-04-2007,A,96,02-04-2014,146482,142215,4267,39,88,Married,Bachelors Degree,2001471225
No,female,22-11-1970,48,Salaried,Not Eligible,Doctor Chiropractic,11-09-2004,A,75,16-09-2013,132894,132894,0,9,55,Married,PhD,2001471226
No,female,02-02-1962,57,Salaried,Not Eligible,Engineer Operating,12-02-2015,C,53,03-10-2015,81736,71698,10038,43,27,Married,Bachelors Degree,2001471227
No,female,03-10-1974,44,Salaried,Not Eligible,Aide Dietary,24-11-2010,B,74,08-10-2016,55484,55484,0,12,29,Married,Graduate Degree,2001471228
No,male,02-04-1964,55,Salaried,Eligible,Word Processor,08-09-2016,B,42,11-09-2016,74760,74760,0,41,44,Single,Graduate Degree,2001471229
No,female,09-05-1984,35,Salaried,Not Eligible,Quality Assurance Calibrator,22-06-2010,D,57,27-10-2017,133017,133017,0,19,79,Married,Some College,2001471230
Yes,female,26-07-1970,48,Hourly,Not Eligible,Inserting Machine Operator,09-01-2010,B,94,20-09-2015,164702,147055,17647,29,41,Married,Some College,2001471231
Yes,male,29-07-1973,45,Hourly,Not Eligible,Department Supervisor,23-01-2014,D,69,15-06-2014,71499,71499,0,35,79,Single,Graduate Degree,2001471232
No,female,18-02-1959,60,Salaried,Eligible,Audiovisual Librarian,23-11-2013,C,66,20-04-2014,106623,102522,4101,23,42,Married,Graduate Degree,2001471233
No,female,16-12-1981,37,Hourly,Not Eligible,Servicer Air Conditioning 2,09-10-2014,A,58,25-07-2014,123699,112453,11246,34,17,Single,Bachelors Degree,2001471234
No,female,22-07-1975,43,Hourly,Not Eligible,Repairer Telephone Station,20-09-2012,D,74,22-02-2015,94741,89378,5363,13,55,Married,Graduate Degree,2001471235
Yes,male,09-06-1977,42,Salaried,Eligible,Case Manager RN,22-04-2005,A,92,08-06-2014,159389,146228,13161,22,70,Single,Bachelors Degree,2001471236
Yes,female,09-04-1963,56,Hourly,Not Eligible,Student Services Director,05-11-2010,B,49,03-09-2015,158362,140143,18219,25,24,Married,Graduate Degree,2001471237
Yes,male,28-05-1977,42,Hourly,Not Eligible,Sales Supervisor Field,13-09-2010,B,67,01-06-2014,74818,74818,0,11,27,Married,Bachelors Degree,2001471238
No,female,28-10-1977,41,Salaried,Not Eligible,Engineering Specialist,01-07-2011,B,95,05-05-2014,94074,89594,4480,24,87,Married,Some College,2001471239
No,male,04-01-1977,42,Salaried,Not Eligible,Sewer Hand,09-10-2009,B,62,16-05-2015,121647,121647,0,37,66,Married,Bachelors Degree,2001471240
No,male,17-07-1970,48,Salaried,Not Eligible,Service Manager Automotive,12-01-2015,A,63,14-06-2017,126819,124332,2487,26,73,Single,Graduate Degree,2001471241
No,male,14-07-1968,50,Salaried,Not Eligible,Production Worker 5,09-12-2003,A,89,19-02-2017,70639,62512,8127,39,56,Married,Graduate Degree,2001471242
No,female,09-06-1983,36,Hourly,Eligible,Marine Engineer,05-08-2009,C,62,24-12-2015,139204,139204,0,29,45,Married,Bachelors Degree,2001471243
No,female,09-10-1961,57,Salaried,Not Eligible,Estimating Supervisor,14-05-2010,B,82,11-08-2015,52257,49768,2489,29,19,Married,Bachelors Degree,2001471244
Yes,male,13-11-1983,35,Salaried,Not Eligible,Handyman,28-07-2011,A,38,22-04-2017,97964,94196,3768,13,37,Married,PhD,2001471245
Yes,female,24-11-1966,52,Hourly,Eligible,Research & Development Supervisor 2,07-04-2011,B,67,29-06-2013,164195,154900,9295,25,77,Married,PhD,2001471246
No,male,06-12-1981,37,Salaried,Not Eligible,Glazier Plate Glass,13-12-2016,B,69,10-05-2014,143287,143287,0,16,19,Married,Bachelors Degree,2001471247
No,male,25-10-1959,59,Salaried,Not Eligible,Technician Physical Therapy,16-07-2004,D,82,13-06-2016,161348,156648,4700,10,63,Single,Bachelors Degree,2001471248
Yes,male,05-10-1964,54,Salaried,Eligible,Copy Writer,06-02-2008,B,79,29-07-2013,160870,147587,13283,22,40,Married,Bachelors Degree,2001471249
Yes,male,13-04-1963,56,Hourly,Not Eligible,Bond Sales Trader,03-10-2013,C,96,15-06-2017,144330,130027,14303,20,34,Married,Some College,2001471250
No,male,06-01-1982,37,Salaried,Not Eligible,Banking Collection Clerk,10-08-2010,B,55,03-03-2015,144045,134621,9424,22,30,Married,Bachelors Degree,2001471251
No,male,05-03-1972,47,Salaried,Eligible,Production Superintendent,13-11-2004,D,43,22-07-2015,190654,190654,0,2,81,Married,Some College,2001471252
No,male,18-07-1963,55,Salaried,Not Eligible,User Support Analyst Supervisor,07-05-2015,B,92,13-02-2015,82005,82005,0,2,26,Married,Some College,2001471253
No,male,31-12-1965,53,Salaried,Eligible,Gynecologist,26-10-2008,B,48,20-02-2015,83801,74160,9641,14,67,Married,Graduate Degree,2001471254
No,male,20-06-1964,54,Salaried,Not Eligible,Manager Department,18-04-2016,A,60,10-07-2014,58013,58013,0,3,37,Married,Some College,2001471255
No,female,18-10-1980,38,Salaried,Not Eligible,Taxidermist,25-02-2015,A,98,30-07-2016,137236,120382,16854,5,36,Married,Bachelors Degree,2001471256
Yes,male,13-06-1971,48,Hourly,Not Eligible,Medical Unit Manager,13-09-2017,C,32,03-08-2014,192137,167075,25062,2,60,Married,PhD,2001471257
No,female,10-12-1981,37,Salaried,Eligible,Clerk Billing,17-06-2006,D,92,03-09-2016,111465,101331,10134,42,34,Single,Bachelors Degree,2001471258
Yes,male,12-02-1972,47,Salaried,Not Eligible,Medical Orderly,09-07-2004,D,53,05-07-2014,71143,62406,8737,43,81,Married,PhD,2001471259
No,male,06-07-1960,58,Salaried,Eligible,Machine Tool Setup Operator,01-08-2014,C,60,22-03-2016,103534,94985,8549,22,80,Single,Graduate Degree,2001471260
No,female,26-11-1960,58,Salaried,Not Eligible,Sales Estimator,04-05-2013,D,75,07-04-2018,167112,162244,4868,14,31,Single,Bachelors Degree,2001471261
No,male,13-12-1981,37,Salaried,Not Eligible,Teacher Vocational Training,18-09-2007,A,49,15-01-2017,134912,118343,16569,21,11,Married,Some College,2001471262
No,female,07-10-1973,45,Salaried,Not Eligible,Counselor Education,02-09-2006,B,100,22-11-2014,94456,90823,3633,4,48,Married,Some College,2001471263
Yes,male,01-03-1981,38,Salaried,Not Eligible,Customer Service Printing,19-09-2003,B,43,30-10-2016,127644,123926,3718,20,59,Single,Some College,2001471264
No,male,29-08-1980,38,Salaried,Eligible,Telephone Sales Representative,27-07-2010,B,53,10-11-2015,109087,105909,3178,10,52,Single,Graduate Degree,2001471265
Yes,female,08-12-1982,36,Salaried,Not Eligible,Asbestos Removal Worker,29-07-2015,A,50,18-10-2013,125178,125178,0,21,78,Married,Graduate Degree,2001471266
No,male,20-01-1982,37,Hourly,Not Eligible,Sports Instructor,07-11-2013,B,35,08-08-2016,138415,126986,11429,16,38,Married,Graduate Degree,2001471267
No,female,29-04-1963,56,Salaried,Not Eligible,Manager Office,11-08-2017,A,51,22-11-2016,91197,91197,0,40,16,Single,Some College,2001471268
No,male,26-02-1963,56,Salaried,Not Eligible,Retail Area Manager,29-07-2016,D,78,30-05-2017,75338,73143,2195,44,63,Married,PhD,2001471269
No,female,03-04-1984,35,Hourly,Not Eligible,Electronics Technician,09-02-2008,B,31,18-06-2017,143368,125761,17607,36,21,Single,Graduate Degree,2001471270
No,male,20-12-1981,37,Salaried,Not Eligible,Medical Ultrasound Technologist,22-07-2004,A,71,23-07-2014,118256,106536,11720,28,97,Single,PhD,2001471271
No,female,02-09-1975,43,Salaried,Not Eligible,Supply Clerk,27-11-2005,A,92,20-10-2014,111535,99584,11951,7,89,Single,Some College,2001471272
No,male,31-05-1971,48,Salaried,Not Eligible,Supervisor Media,04-03-2009,B,34,10-07-2015,177376,158371,19005,37,68,Married,Some College,2001471273
Yes,male,26-02-1976,43,Salaried,Not Eligible,Policy Value Calculator Insurance,26-05-2012,A,95,11-07-2013,121065,111068,9997,0,33,Single,Some College,2001471274
No,female,24-03-1966,53,Salaried,Not Eligible,Order Processing Supervisor,27-11-2010,C,93,06-09-2015,71571,69486,2085,16,15,Single,Graduate Degree,2001471275
Yes,male,07-11-1981,37,Salaried,Eligible,Attendant Personal,25-08-2015,C,58,05-01-2018,149439,139662,9777,14,84,Married,PhD,2001471276
Yes,male,01-11-1960,58,Salaried,Not Eligible,Map/File Drawings Clerk,25-09-2017,A,31,30-05-2014,73549,68100,5449,37,89,Married,Some College,2001471277
No,male,21-11-1977,41,Salaried,Eligible,Communications Analyst,11-10-2013,C,56,18-12-2013,146718,127580,19138,20,37,Married,Bachelors Degree,2001471278
Yes,male,08-06-1974,45,Salaried,Eligible,Loan Teller,27-11-2013,B,50,13-11-2014,75143,75143,0,32,49,Single,Graduate Degree,2001471279
No,male,07-04-1967,52,Salaried,Not Eligible,Insurance Branch Manager,17-03-2016,C,42,27-09-2014,84123,78619,5504,32,40,Married,Some College,2001471280
No,female,18-02-1974,45,Salaried,Not Eligible,Medical Phlebotomist,17-08-2014,C,52,11-08-2017,102033,91921,10112,11,30,Single,Some College,2001471281
Yes,male,07-10-1965,53,Hourly,Not Eligible,Social Medical Researcher,20-01-2018,C,83,05-12-2016,173731,173731,0,17,23,Married,Graduate Degree,2001471282
Yes,female,15-02-1959,60,Salaried,Not Eligible,Instrument Technician,06-01-2015,A,58,24-06-2016,78901,75866,3035,7,45,Married,Some College,2001471283
No,female,25-09-1973,45,Salaried,Eligible,Baggage Porter Head,19-12-2017,D,89,19-07-2016,84008,84008,0,0,35,Married,Some College,2001471284
No,female,14-01-1962,57,Salaried,Not Eligible,Herbarium Worker,08-02-2005,C,97,12-09-2017,126452,118179,8273,26,17,Married,PhD,2001471285
No,female,17-11-1959,59,Hourly,Eligible,Investigator Fraud,26-01-2012,B,58,07-12-2015,68527,67183,1344,37,29,Married,PhD,2001471286
Yes,male,18-12-1966,52,Salaried,Not Eligible,Transcribing Machine Operator,17-05-2006,D,98,14-02-2017,147952,133290,14662,10,91,Married,PhD,2001471287
No,male,27-10-1973,45,Salaried,Not Eligible,Medical Audiologist,18-02-2011,B,88,20-06-2016,151366,138867,12499,37,61,Married,Graduate Degree,2001471288
No,female,15-02-1960,59,Salaried,Not Eligible,Engineering Supervisor Admin,10-01-2018,B,92,16-09-2016,108128,103969,4159,36,60,Married,Graduate Degree,2001471289
Yes,male,04-02-1967,52,Salaried,Not Eligible,Medical Occupational Therapy Aide,12-02-2009,A,38,20-02-2016,80116,70899,9217,38,27,Married,Bachelors Degree,2001471290
No,female,21-09-1976,42,Salaried,Eligible,Assembly Line Foreman,22-03-2004,A,32,14-08-2013,104577,96830,7747,1,15,Married,Some College,2001471291
Yes,male,07-11-1961,57,Salaried,Not Eligible,Insurance & Senior Benefits Clerk,29-10-2009,A,56,25-11-2013,138216,132900,5316,9,34,Married,Graduate Degree,2001471292
No,male,28-08-1983,35,Hourly,Not Eligible,Disc Jockey,14-04-2006,D,42,14-03-2014,124647,124647,0,6,58,Single,Graduate Degree,2001471293
No,female,18-04-1962,57,Salaried,Not Eligible,Metallurgical Lab Assistant,09-08-2017,B,78,05-09-2013,173453,173453,0,11,88,Married,Graduate Degree,2001471294
No,male,27-11-1970,48,Salaried,Not Eligible,Computer Programmer Operations Supervisor,11-09-2006,D,72,26-10-2016,102457,97578,4879,17,35,Married,Graduate Degree,2001471295
No,female,05-10-1983,35,Hourly,Not Eligible,Director Volunteer Services,19-12-2015,B,78,22-01-2015,127211,124716,2495,44,70,Married,Bachelors Degree,2001471296
No,female,27-12-1961,57,Salaried,Not Eligible,Machine Assembler,01-03-2011,D,32,06-01-2015,80581,79783,798,16,56,Married,Some College,2001471297
No,female,23-05-1962,57,Salaried,Eligible,Butler,06-11-2016,D,51,22-02-2015,134104,118676,15428,17,45,Married,Graduate Degree,2001471298
